Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),TotalWorkRateLevel
0.02,73.170732,5559.452255,94.796697,113.762360,73.161830,1840.611719,37.030575,33.110107,15.957447,0.016680,0,89.133327,0.004170
1.02,75.000000,5759.396518,91.819524,112.228568,67.157022,5057.871593,37.031064,33.110543,15.957447,0.536357,0,244.932115,0.134089
2.02,75.000000,5958.146343,85.021354,105.446415,61.674333,6229.500091,37.031933,33.111338,15.957447,0.725607,0,301.669310,0.181402
3.02,76.923077,6183.814093,81.727233,101.424887,59.629173,6656.171667,37.032939,33.112276,15.957447,0.794527,0,322.331276,0.198632
4.02,78.947368,6276.423295,80.529591,99.861704,59.174900,6811.552518,37.033999,33.113222,15.957447,0.819625,0,329.855738,0.204906
5.02,83.333333,6430.372233,80.949339,99.614080,60.492944,6868.137513,37.035079,33.114165,15.957447,0.828765,0,332.595918,0.207191
6.02,85.714286,6535.372919,81.783849,100.064357,61.699347,6888.744053,37.036167,33.115108,15.957447,0.832094,0,333.593809,0.208023
7.02,90.909091,6700.054502,83.751827,101.458824,64.328453,6896.248329,37.037256,33.116060,15.957447,0.833306,0,333.957211,0.208326
8.02,90.909091,6615.348059,84.346759,102.201504,64.689746,6898.981160,37.038345,33.117023,15.957447,0.824725,0.000714,334.089551,0.206181
9.02,93.750000,6655.457897,85.603757,103.283922,66.227156,6899.976373,37.039435,33.117986,15.957447,0.809660,0.022841,334.137745,0.202415
10.02,96.774194,6836.528346,86.413781,103.639586,67.606972,6900.338800,37.040524,33.118948,15.957447,0.801758,0.028485,334.155296,0.200439
11.02,100.000000,6956.798977,88.031060,104.933947,69.566241,6900.470785,37.041613,33.119918,15.957447,0.792017,0.041575,334.161687,0.198004
12.02,100.000000,6863.975308,88.692808,105.802172,69.976371,6900.518850,37.042701,33.120899,15.957447,0.788972,0.037169,334.164015,0.197243
13.02,103.448276,7000.991073,89.566991,106.417004,71.404359,6900.536354,37.043789,33.121876,15.957447,0.798735,0.038943,334.164862,0.199684
14.02,103.448276,6918.127659,90.601603,107.561668,72.160323,6900.542728,37.044877,33.122860,15.957447,0.788873,0.043383,334.165171,0.197218
15.02,107.142857,7148.759033,91.477028,107.836499,73.720451,6900.545049,37.045964,33.123851,15.957447,0.787955,0.040640,334.165283,0.196989
16.02,107.142857,7022.798341,92.448360,108.940006,74.393924,6900.545895,37.047049,33.124855,15.957447,0.798145,0.037879,334.165324,0.199536
17.02,107.142857,6966.681542,92.602024,109.180104,74.522109,6900.546203,37.048135,33.125851,15.957447,0.794967,0.041564,334.165339,0.198742
18.02,111.111111,7104.705657,93.883869,110.062389,76.339287,6900.546315,37.049221,33.126845,15.957447,0.787353,0.043566,334.165345,0.196838
19.02,111.111111,7025.671700,94.035264,110.415380,76.418962,6900.546355,37.050306,33.127849,15.957447,0.781632,0.043710,334.165347,0.195408
20.02,111.111111,7023.964035,94.108565,110.484868,76.507961,6900.546370,37.051392,33.128840,15.957447,0.792422,0.039165,334.165347,0.198105
21.02,111.111111,7014.221575,94.357910,110.750504,76.747733,6900.546376,37.052479,33.129824,16.042781,0.795871,0.041268,334.165348,0.198968
22.02,115.384615,7275.604543,95.290034,111.063731,78.438806,6900.546378,37.053566,33.130805,16.042781,0.792476,0.043358,334.165348,0.198119
23.02,115.384615,7156.608772,96.239474,112.106755,79.112790,6900.546378,37.054650,33.131808,16.042781,0.786694,0.044811,334.165348,0.196674
