Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,126.94580446666667,37.06255006666667,33.14853778333333,0.25,28.0,30.0
0 days 00:01:01.020000,166.56131765,37.12427161666667,33.223898750000004,0.25,28.0,30.0
0 days 00:02:01.020000,166.39146918333333,37.18340466666667,33.273446650000004,0.25,28.0,30.0
0 days 00:03:01.020000,172.87581696666666,37.24255721666667,33.291788933333336,0.25,28.0,30.0
0 days 00:04:01.020000,176.470588,37.30178555,33.27910781666667,0.25,28.0,30.0
0 days 00:05:01.020000,176.5114377,37.36074696666667,33.23727126666667,0.25,28.0,30.0
0 days 00:06:01.020000,176.470588,37.419352583333335,33.167148833333336,0.25,28.0,30.0
0 days 00:07:01.020000,177.20588213333335,37.47749216666667,33.07010373333333,0.25,28.0,30.0
0 days 00:08:01.020000,176.470588,37.535041650000004,32.947610266666665,0.25,28.0,30.0
0 days 00:09:01.020000,176.470588,37.59190483333334,32.801077516666666,0.25,28.0,30.0
