Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,127.0920033,37.06291241666667,33.1590091,0.25,35.0,75.0
0 days 00:01:01.020000,166.50326809999999,37.12598858333333,33.254086283333336,0.25,35.0,75.0
0 days 00:02:01.020000,166.84726553333334,37.18710358333333,33.32158651666666,0.25,35.0,75.0
0 days 00:03:01.020000,172.7124182833333,37.248273749999996,33.35625948333333,0.25,35.0,75.0
0 days 00:04:01.020000,176.470588,37.30952555,33.358406099999996,0.25,35.0,75.0
0 days 00:05:01.020000,177.22630698333333,37.370547216666665,33.3299315,0.25,35.0,75.0
0 days 00:06:01.020000,176.470588,37.43125223333333,33.27176068333333,0.25,35.0,75.0
0 days 00:07:01.020000,176.36846386666667,37.49152985,33.185305650000004,0.25,35.0,75.0
0 days 00:08:01.020000,176.470588,37.551258866666664,33.07209063333333,0.25,35.0,75.0
0 days 00:09:01.020000,176.470588,37.61034035,32.93356406666667,0.25,35.0,75.0
0 days 00:10:01.020000,176.470588,37.668713933333336,32.77139095,0.25,35.0,75.0
0 days 00:11:01.020000,176.470588,37.72628745,32.58705288333333,0.25,35.0,75.0
0 days 00:12:01.020000,176.470588,37.78299233333333,32.381921133333336,0.25,35.0,75.0
0 days 00:13:01.020000,176.470588,37.83876506666666,32.15737823333333,0.25,35.0,75.0
0 days 00:14:01.020000,176.470588,37.893546050000005,31.9147697,0.25,35.0,75.0
0 days 00:15:01.020000,176.470588,37.947280983333336,31.655393033333333,0.25,35.0,75.0
0 days 00:16:01.020000,176.470588,37.999922500000004,31.380480533333333,0.25,35.0,75.0
0 days 00:17:01.020000,176.470588,38.051424483333335,31.09115555,0.25,35.0,75.0
0 days 00:18:01.020000,176.470588,38.10176476666666,30.788717666666667,0.25,35.0,75.0
0 days 00:19:01.020000,176.470588,38.15085476666666,30.474407516666666,0.25,35.0,75.0
0 days 00:20:01.020000,176.470588,38.198694016666664,30.149356,0.25,35.0,75.0
0 days 00:21:01.020000,176.470588,38.24522006666667,29.814794600000003,0.25,35.0,75.0
0 days 00:22:01.020000,176.470588,38.29040031666667,29.47176905,0.25,35.0,75.0
0 days 00:23:01.020000,176.470588,38.334215900000004,29.121305783333334,0.25,35.0,75.0
0 days 00:24:01.020000,176.470588,38.376652283333335,28.764400433333332,0.25,35.0,75.0
0 days 00:25:01.020000,176.30718931666667,38.41769668333333,28.40201881666667,0.25,35.0,75.0
0 days 00:26:01.020000,175.32679721666668,38.45732554999999,28.0351139,0.25,35.0,75.0
0 days 00:27:01.020000,169.60784329999998,38.495449216666664,27.664838533333334,0.25,35.0,75.0
0 days 00:28:01.020000,166.666667,38.53194906666667,27.292625016666666,0.25,35.0,75.0
0 days 00:29:01.020000,166.666667,38.566979599999996,26.918825050000002,0.25,35.0,75.0
