Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.032185,33.110995,1.0,30.0,71.11111111111111
0 days 00:00:02.020000,78.947368,37.035338,33.11307,1.0,30.0,71.11111111111111
0 days 00:00:03.020000,78.947368,37.039066,33.115434,1.0,30.0,71.11111111111111
0 days 00:00:04.020000,83.333333,37.043016,33.117775,1.0,30.0,71.11111111111111
0 days 00:00:05.020000,85.714286,37.047049,33.120092,1.0,30.0,71.11111111111111
0 days 00:00:06.020000,88.235294,37.051112,33.122402,1.0,30.0,71.11111111111111
0 days 00:00:07.020000,93.75,37.055184,33.124723,1.0,30.0,71.11111111111111
0 days 00:00:08.020000,93.75,37.059258,33.127056,1.0,30.0,71.11111111111111
0 days 00:00:09.020000,96.774194,37.063333,33.129402,1.0,30.0,71.11111111111111
0 days 00:00:10.020000,100.0,37.067406,33.131772,1.0,30.0,71.11111111111111
0 days 00:00:11.020000,103.448276,37.071474,33.134179,1.0,30.0,71.11111111111111
0 days 00:00:12.020000,107.142857,37.07554,33.136623,1.0,30.0,71.11111111111111
0 days 00:00:13.020000,107.142857,37.0796,33.139114,1.0,30.0,71.11111111111111
0 days 00:00:14.020000,111.111111,37.083657,33.141633,1.0,30.0,71.11111111111111
0 days 00:00:15.020000,111.111111,37.087711,33.144181,1.0,30.0,71.11111111111111
0 days 00:00:16.020000,115.384615,37.091764,33.146735,1.0,30.0,71.11111111111111
0 days 00:00:17.020000,115.384615,37.095811,33.149338,1.0,30.0,71.11111111111111
0 days 00:00:18.020000,120.0,37.099853,33.151979,1.0,30.0,71.11111111111111
0 days 00:00:19.020000,125.0,37.103893,33.154626,1.0,30.0,71.11111111111111
0 days 00:00:20.020000,130.434783,37.107926,33.157296,1.0,30.0,71.11111111111111
0 days 00:00:21.020000,136.363636,37.111949,33.159991,1.0,30.0,71.11111111111111
0 days 00:00:22.020000,142.857143,37.115967,33.162704,1.0,30.0,71.11111111111111
0 days 00:00:23.020000,150.0,37.119982,33.165413,1.0,30.0,71.11111111111111
0 days 00:00:24.020000,157.894737,37.123988,33.168116,1.0,30.0,71.11111111111111
0 days 00:00:25.020000,166.666667,37.127988,33.170849,1.0,30.0,71.11111111111111
0 days 00:00:26.020000,176.470588,37.131981,33.173605,1.0,30.0,71.11111111111111
0 days 00:00:27.020000,187.5,37.135968,33.176329,1.0,30.0,71.11111111111111
0 days 00:00:28.020000,187.5,37.139951,33.179035,1.0,30.0,71.11111111111111
0 days 00:00:29.020000,187.5,37.143938,33.181658,1.0,30.0,71.11111111111111
0 days 00:00:30.020000,187.5,37.147922,33.184202,1.0,30.0,71.11111111111111
0 days 00:00:31.020000,187.5,37.151907,33.186677,1.0,30.0,71.11111111111111
0 days 00:00:32.020000,187.5,37.155894,33.189091,1.0,30.0,71.11111111111111
0 days 00:00:33.020000,187.5,37.159872,33.191449,1.0,30.0,71.11111111111111
0 days 00:00:34.020000,187.5,37.163851,33.193757,1.0,30.0,71.11111111111111
0 days 00:00:35.020000,187.5,37.167829,33.196018,1.0,30.0,71.11111111111111
0 days 00:00:36.020000,187.5,37.171795,33.198234,1.0,30.0,71.11111111111111
0 days 00:00:37.020000,187.5,37.175763,33.200408,1.0,30.0,71.11111111111111
0 days 00:00:38.020000,187.5,37.179725,33.20254,1.0,30.0,71.11111111111111
0 days 00:00:39.020000,187.5,37.183679,33.204633,1.0,30.0,71.11111111111111
0 days 00:00:40.020000,187.5,37.187633,33.206686,1.0,30.0,71.11111111111111
0 days 00:00:41.020000,187.5,37.191577,33.208702,1.0,30.0,71.11111111111111
0 days 00:00:42.020000,187.5,37.195517,33.21068,1.0,30.0,71.11111111111111
0 days 00:00:43.020000,187.5,37.199457,33.212621,1.0,30.0,71.11111111111111
0 days 00:00:44.020000,187.5,37.203384,33.214526,1.0,30.0,71.11111111111111
0 days 00:00:45.020000,187.5,37.207312,33.216394,1.0,30.0,71.11111111111111
0 days 00:00:46.020000,187.5,37.211234,33.218226,1.0,30.0,71.11111111111111
0 days 00:00:47.020000,187.5,37.215151,33.220023,1.0,30.0,71.11111111111111
0 days 00:00:48.020000,187.5,37.219068,33.221784,1.0,30.0,71.11111111111111
0 days 00:00:49.020000,187.5,37.22298,33.223511,1.0,30.0,71.11111111111111
0 days 00:00:50.020000,187.5,37.226891,33.225203,1.0,30.0,71.11111111111111
0 days 00:00:51.020000,187.5,37.2308,33.22686,1.0,30.0,71.11111111111111
0 days 00:00:52.020000,187.5,37.234708,33.228483,1.0,30.0,71.11111111111111
0 days 00:00:53.020000,187.5,37.238615,33.230071,1.0,30.0,71.11111111111111
0 days 00:00:54.020000,187.5,37.242521,33.231626,1.0,30.0,71.11111111111111
